Estrategia,Trades,Expiraciones,% Expiraciones,PnL Flat ($),PF Flat,PnL Market ($),PF Market,Delta Atribuido ($)
CRT-TBS (Champion),93,26,27.96%,"1,542.00",1.0681,"4,801.00",1.2006,"+3,259.00"
ORB (Experimental),2544,1141,44.85%,"-205,061.50",0.6311,"19,555.00",1.0321,"+224,616.50"
